price,want_person,look_time,area,title,url
900,2,166,"['广州', '番禺']",900元，最低价。有急事回家需要立刻卖掉！,http://zhuanzhuan.58.com/detail/892254664321138695z.shtml
230,2,852,"['广州', '黄埔']",230元转亿宝莱 高景观婴儿推车,http://zhuanzhuan.58.com/detail/831337814195896328z.shtml
80,0,568,"['广州', '海珠']",乐邦榨汁机,http://zhuanzhuan.58.com/detail/774589861508055044z.shtml
10,0,37,"['广州', '白云']",【小说】花雨寻梦园齐晏韦伶丁千柔董妮郝逑倌琯。10元／本,http://zhuanzhuan.58.com/detail/875068783869018125z.shtml
7388,3,2461,"['广州', '天河']",苹果 iPhone7 苹果手机iphone7. 5.5寸256G亮黑色国行,http://zhuanzhuan.58.com/detail/843049693538598919z.shtml
650,3,404,"['广州', '越秀']",#台式电脑#自用闲置 买到就是赚,http://zhuanzhuan.58.com/detail/891674892496338953z.shtml
1750,0,41,"['广州', '天河']",松吉电动车,http://zhuanzhuan.58.com/detail/892075026869534726z.shtml
1480,0,52,"['广州', '白云']",摩托车,http://zhuanzhuan.58.com/detail/891758179337666571z.shtml
4880,10,2017,"['广州', '天河']",戴尔M4800 高端移动工作站,http://zhuanzhuan.58.com/detail/778100530150785028z.shtml
1500,11,934,"['广州', '黄埔']",苹果 iPhone6 苹果6 16g  8.2系统已越狱,http://zhuanzhuan.58.com/detail/852769746002771974z.shtml
850,5,332,"['广州', '白云']",beats,http://zhuanzhuan.58.com/detail/866877714145001478z.shtml
3,0,8,"['广州', '天河']",高等数学习题全解 同济六版 全册,http://zhuanzhuan.58.com/detail/840031567173648391z.shtml
40,1,2261,"['广州', '天河']",毕加索作品集,http://zhuanzhuan.58.com/detail/759638415671312385z.shtml
180,10,979,"['广州', '白云']",路易家经典迷你老花枕头包手提斜挎女士包包欧洲热款,http://zhuanzhuan.58.com/detail/796897940089028616z.shtml
30,1,423,"['广州', '萝岗']",低音炮,http://zhuanzhuan.58.com/detail/840870008511873028z.shtml
500,1,339,"['广州', '越秀']",vivo Y31 vivoY31,http://zhuanzhuan.58.com/detail/887205886746689543z.shtml
1200,0,318,"['广州', '海珠']",6/9千瓦全自动锅炉蒸汽发生器电加热炉,http://zhuanzhuan.58.com/detail/802537522492866565z.shtml
2800,0,78,"['广州', '白云']",铃木锐爽转让,http://zhuanzhuan.58.com/detail/891702138447446029z.shtml
19,2,112,"['广州', '佛山']",〔书籍〕包邮朱力宇孟维法律硕士联考考试大纲配套练习 人民大学,http://zhuanzhuan.58.com/detail/847782037416558603z.shtml
1080,0,43,"['广州', '黄埔']",送汇茲学习卡，小孩子幼儿园到中学课本同部智能学习全不都有。,http://zhuanzhuan.58.com/detail/869965410955657227z.shtml
5500,0,35,"['广州', '白云']",欧三锐动迅鹰,http://zhuanzhuan.58.com/detail/891959181173604364z.shtml
500,1,78,"['广州', '黄埔']",华凌八成新，制冷杠杠！,http://zhuanzhuan.58.com/detail/891999442549916166z.shtml
15,0,57,"['广州', '荔湾']",耳机,http://zhuanzhuan.58.com/detail/833176560109518856z.shtml
1000,4,714,"['广州', '天河']",苹果 iPhone5s 苹果5s   16g,http://zhuanzhuan.58.com/detail/780222905701679107z.shtml
350,0,30,"['广州', '天河']",宝宝好婴儿推车四轮避震双向折叠可坐可平躺全蓬儿童手推车,http://zhuanzhuan.58.com/detail/886374828498731020z.shtml
160,1,76,"['广州', '白云']",22寸帆布黑色行李箱。,http://zhuanzhuan.58.com/detail/871381744974299147z.shtml
2750,2,57,"['大连', '中山']",ipadmini4,http://zhuanzhuan.58.com/detail/892282398194089993z.shtml
19,0,3,"['广州', '南沙']",oppo原装闪充数据线,http://zhuanzhuan.58.com/detail/892352310254191115z.shtml
2,0,1199,"['广州', '番禺']",看看哪些你需要,http://zhuanzhuan.58.com/detail/786390244359143428z.shtml
